,Q_cool
2022-06-21 21:10:00,0.0
2022-06-21 21:15:00,0.0
2022-06-21 21:20:00,0.0
2022-06-21 21:25:00,0.0
2022-06-21 21:30:00,0.0
2022-06-21 21:35:00,0.0
2022-06-21 21:40:00,0.0
2022-06-21 21:45:00,0.0
2022-06-21 21:50:00,0.0
2022-06-21 21:55:00,0.0
2022-06-21 22:00:00,0.0
2022-06-21 22:05:00,0.0
2022-06-21 22:10:00,0.0
2022-06-21 22:15:00,0.0
2022-06-21 22:20:00,0.0
2022-06-21 22:25:00,0.0
2022-06-21 22:30:00,0.0
2022-06-21 22:35:00,0.0
2022-06-21 22:40:00,0.0
2022-06-21 22:45:00,0.0
2022-06-21 22:50:00,0.0
2022-06-21 22:55:00,0.0
2022-06-21 23:00:00,0.0
2022-06-21 23:05:00,0.0
2022-06-21 23:10:00,0.0
2022-06-21 23:15:00,0.0
2022-06-21 23:20:00,0.0
2022-06-21 23:25:00,0.0
2022-06-21 23:30:00,0.0
2022-06-21 23:35:00,0.0
2022-06-21 23:40:00,0.0
2022-06-21 23:45:00,0.0
2022-06-21 23:50:00,0.0
2022-06-21 23:55:00,0.0
2022-06-22 00:00:00,0.0
2022-06-22 00:05:00,0.0
2022-06-22 00:10:00,0.0
2022-06-22 00:15:00,0.0
2022-06-22 00:20:00,0.0
2022-06-22 00:25:00,0.0
2022-06-22 00:30:00,0.0
2022-06-22 00:35:00,0.0
2022-06-22 00:40:00,0.0
2022-06-22 00:45:00,0.0
2022-06-22 00:50:00,0.0
2022-06-22 00:55:00,0.0
2022-06-22 01:00:00,0.0
2022-06-22 01:05:00,0.0
2022-06-22 01:10:00,0.0
2022-06-22 01:15:00,0.0
2022-06-22 01:20:00,0.0
2022-06-22 01:25:00,0.0
2022-06-22 01:30:00,0.0
2022-06-22 01:35:00,0.0
2022-06-22 01:40:00,0.0
2022-06-22 01:45:00,0.0
2022-06-22 01:50:00,0.0
2022-06-22 01:55:00,0.0
2022-06-22 02:00:00,0.0
2022-06-22 02:05:00,0.0
2022-06-22 02:10:00,0.0
2022-06-22 02:15:00,0.0
2022-06-22 02:20:00,0.0
2022-06-22 02:25:00,0.0
2022-06-22 02:30:00,0.0
2022-06-22 02:35:00,0.0
2022-06-22 02:40:00,0.0
2022-06-22 02:45:00,0.0
2022-06-22 02:50:00,0.0
2022-06-22 02:55:00,0.0
2022-06-22 03:00:00,0.0
2022-06-22 03:05:00,0.0
2022-06-22 03:10:00,0.0
2022-06-22 03:15:00,0.0
2022-06-22 03:20:00,0.0
2022-06-22 03:25:00,0.0
2022-06-22 03:30:00,0.0
2022-06-22 03:35:00,0.0
2022-06-22 03:40:00,0.0
2022-06-22 03:45:00,0.0
2022-06-22 03:50:00,0.0
2022-06-22 03:55:00,0.0
2022-06-22 04:00:00,0.0
2022-06-22 04:05:00,0.0
2022-06-22 04:10:00,0.0
2022-06-22 04:15:00,0.0
2022-06-22 04:20:00,0.0
2022-06-22 04:25:00,0.0
2022-06-22 04:30:00,0.0
2022-06-22 04:35:00,0.0
2022-06-22 04:40:00,0.0
2022-06-22 04:45:00,0.0
2022-06-22 04:50:00,0.0
2022-06-22 04:55:00,0.0
2022-06-22 05:00:00,0.0
2022-06-22 05:05:00,0.0
2022-06-22 05:10:00,0.0
2022-06-22 05:15:00,0.0
2022-06-22 05:20:00,0.0
2022-06-22 05:25:00,0.0
2022-06-22 05:30:00,0.0
2022-06-22 05:35:00,0.0
2022-06-22 05:40:00,0.0
2022-06-22 05:45:00,0.0
2022-06-22 05:50:00,0.0
2022-06-22 05:55:00,0.0
2022-06-22 06:00:00,0.0
2022-06-22 06:05:00,0.0
2022-06-22 06:10:00,0.0
2022-06-22 06:15:00,0.0
2022-06-22 06:20:00,0.0
2022-06-22 06:25:00,0.0
2022-06-22 06:30:00,0.0
2022-06-22 06:35:00,0.0
2022-06-22 06:40:00,0.0
2022-06-22 06:45:00,0.0
2022-06-22 06:50:00,0.0
2022-06-22 06:55:00,0.0
2022-06-22 07:00:00,0.0
2022-06-22 07:05:00,0.0
2022-06-22 07:10:00,0.0
2022-06-22 07:15:00,0.0
2022-06-22 07:20:00,0.0
2022-06-22 07:25:00,0.0
2022-06-22 07:30:00,0.0
2022-06-22 07:35:00,0.0
2022-06-22 07:40:00,0.0
2022-06-22 07:45:00,0.0
2022-06-22 07:50:00,0.0
2022-06-22 07:55:00,0.0
2022-06-22 08:00:00,0.0
2022-06-22 08:05:00,0.0
2022-06-22 08:10:00,0.0
2022-06-22 08:15:00,0.0
2022-06-22 08:20:00,0.0
2022-06-22 08:25:00,0.0
2022-06-22 08:30:00,0.0
2022-06-22 08:35:00,14874.31785905034
2022-06-22 08:40:00,19241.951809605194
2022-06-22 08:45:00,0.0
2022-06-22 08:50:00,0.0
2022-06-22 08:55:00,0.0
2022-06-22 09:00:00,5629.431352525506
2022-06-22 09:05:00,16976.218545699263
2022-06-22 09:10:00,19156.192146005487
2022-06-22 09:15:00,7613.209263158924
2022-06-22 09:20:00,15636.840821651149
2022-06-22 09:25:00,6504.843820841636
2022-06-22 09:30:00,15858.102348809138
2022-06-22 09:35:00,12738.867746699776
2022-06-22 09:40:00,10375.161969575956
2022-06-22 09:45:00,14894.071740484813
2022-06-22 09:50:00,8591.644227154135
2022-06-22 09:55:00,12837.801264138496
2022-06-22 10:00:00,6054.283846457193
2022-06-22 10:05:00,16477.713846609633
2022-06-22 10:10:00,1864.7377992327995
2022-06-22 10:15:00,24778.781055225016
2022-06-22 10:20:00,15435.640246052799
2022-06-22 10:25:00,9277.642062335824
2022-06-22 10:30:00,14107.65306374064
2022-06-22 10:35:00,2669.910067797616
2022-06-22 10:40:00,15832.39675512128
2022-06-22 10:45:00,6693.590106105585
2022-06-22 10:50:00,15770.332584503923
2022-06-22 10:55:00,12536.996060043046
2022-06-22 11:00:00,-691.3548339773182
2022-06-22 11:05:00,14720.198400676949
2022-06-22 11:10:00,2873.2498812878625
2022-06-22 11:15:00,0.0
2022-06-22 11:20:00,0.0
2022-06-22 11:25:00,0.0
2022-06-22 11:30:00,0.0
2022-06-22 11:35:00,0.0
2022-06-22 11:40:00,-650.0540335923871
2022-06-22 11:45:00,19838.746641951704
2022-06-22 11:50:00,22523.75814778478
2022-06-22 11:55:00,22618.739010474983
2022-06-22 12:00:00,11292.317154886066
2022-06-22 12:05:00,0.0
2022-06-22 12:10:00,0.0
2022-06-22 12:15:00,0.0
2022-06-22 12:20:00,0.0
2022-06-22 12:25:00,0.0
2022-06-22 12:30:00,0.0
2022-06-22 12:35:00,0.0
2022-06-22 12:40:00,0.0
2022-06-22 12:45:00,0.0
2022-06-22 12:50:00,0.0
2022-06-22 12:55:00,0.0
2022-06-22 13:00:00,0.0
2022-06-22 13:05:00,0.0
2022-06-22 13:10:00,0.0
2022-06-22 13:15:00,0.0
2022-06-22 13:20:00,0.0
2022-06-22 13:25:00,0.0
2022-06-22 13:30:00,0.0
2022-06-22 13:35:00,0.0
2022-06-22 13:40:00,0.0
2022-06-22 13:45:00,0.0
2022-06-22 13:50:00,19790.627573541606
2022-06-22 13:55:00,29054.85216383046
2022-06-22 14:00:00,33172.88301949725
2022-06-22 14:05:00,23449.820375582232
2022-06-22 14:10:00,20149.891985021757
2022-06-22 14:15:00,18002.803970751527
2022-06-22 14:20:00,22357.744833052875
2022-06-22 14:25:00,18569.900576505876
2022-06-22 14:30:00,22423.872641088958
2022-06-22 14:35:00,24856.068942995236
2022-06-22 14:40:00,13540.480311547984
2022-06-22 14:45:00,20596.583835425994
2022-06-22 14:50:00,17713.571040573883
2022-06-22 14:55:00,19323.000600732597
2022-06-22 15:00:00,13653.73634541774
2022-06-22 15:05:00,13689.731794272884
2022-06-22 15:10:00,14640.92267423366
2022-06-22 15:15:00,10682.89611346576
2022-06-22 15:20:00,12252.827964171358
2022-06-22 15:25:00,22851.95012601722
2022-06-22 15:30:00,4928.194449109653
2022-06-22 15:35:00,8057.369219355103
2022-06-22 15:40:00,18550.73652467826
2022-06-22 15:45:00,-884.7593027205356
2022-06-22 15:50:00,16341.556110600131
2022-06-22 15:55:00,8775.59730880393
2022-06-22 16:00:00,1504.912192244599
2022-06-22 16:05:00,16855.395713730526
2022-06-22 16:10:00,3614.9277589316375
2022-06-22 16:15:00,13282.273439801063
2022-06-22 16:20:00,11451.885198000591
2022-06-22 16:25:00,2665.6605350198465
2022-06-22 16:30:00,10482.30845991859
2022-06-22 16:35:00,-727.4805746630152
2022-06-22 16:40:00,-668.617405097695
2022-06-22 16:45:00,-634.9334741902882
2022-06-22 16:50:00,-592.9797535967438
2022-06-22 16:55:00,-474.07000429298415
2022-06-22 17:00:00,-330.3732248492576
2022-06-22 17:05:00,14330.68900116728
2022-06-22 17:10:00,15097.051477643023
2022-06-22 17:15:00,18745.60304851941
2022-06-22 17:20:00,20732.3877453871
2022-06-22 17:25:00,2195.9099897329124
2022-06-22 17:30:00,10005.471887911162
2022-06-22 17:35:00,-691.1978784050153
2022-06-22 17:40:00,-660.6080557462521
2022-06-22 17:45:00,-687.2776215191099
2022-06-22 17:50:00,-673.0078202336175
2022-06-22 17:55:00,-566.5947979218231
2022-06-22 18:00:00,-494.17512437270597
2022-06-22 18:05:00,-329.1490674903616
2022-06-22 18:10:00,
2022-06-22 18:15:00,
2022-06-22 18:20:00,
2022-06-22 18:25:00,
2022-06-22 18:30:00,0.0
2022-06-22 18:35:00,0.0
2022-06-22 18:40:00,
2022-06-22 18:45:00,
2022-06-22 18:50:00,
2022-06-22 18:55:00,
2022-06-22 19:00:00,
2022-06-22 19:05:00,
2022-06-22 19:10:00,
2022-06-22 19:15:00,
2022-06-22 19:20:00,
2022-06-22 19:25:00,
2022-06-22 19:30:00,0.0
2022-06-22 19:35:00,0.0
2022-06-22 19:40:00,0.0
2022-06-22 19:45:00,0.0
2022-06-22 19:50:00,0.0
2022-06-22 19:55:00,0.0
2022-06-22 20:00:00,0.0
2022-06-22 20:05:00,0.0
2022-06-22 20:10:00,0.0
2022-06-22 20:15:00,0.0
2022-06-22 20:20:00,0.0
2022-06-22 20:25:00,0.0
2022-06-22 20:30:00,0.0
2022-06-22 20:35:00,0.0
2022-06-22 20:40:00,0.0
2022-06-22 20:45:00,0.0
2022-06-22 20:50:00,0.0
2022-06-22 20:55:00,0.0
2022-06-22 21:00:00,0.0
2022-06-22 21:05:00,0.0
2022-06-22 21:10:00,0.0
2022-06-22 21:15:00,0.0
2022-06-22 21:20:00,0.0
2022-06-22 21:25:00,0.0
2022-06-22 21:30:00,0.0
2022-06-22 21:35:00,0.0
2022-06-22 21:40:00,0.0
2022-06-22 21:50:00,0.0
2022-06-22 22:00:00,0.0
2022-06-22 22:05:00,0.0
2022-06-22 22:10:00,0.0
2022-06-22 22:15:00,0.0
2022-06-22 22:20:00,0.0
2022-06-22 22:25:00,0.0
2022-06-22 22:30:00,0.0
2022-06-22 22:40:00,0.0
2022-06-22 22:45:00,0.0
2022-06-22 22:50:00,0.0
2022-06-22 23:00:00,0.0
2022-06-22 23:05:00,0.0
2022-06-22 23:20:00,0.0
2022-06-22 23:35:00,0.0
2022-06-22 23:40:00,0.0
2022-06-22 23:50:00,0.0
2022-06-22 23:55:00,0.0
2022-06-23 00:00:00,0.0
2022-06-23 00:05:00,0.0
2022-06-23 00:10:00,0.0
2022-06-23 00:15:00,0.0
2022-06-23 00:20:00,0.0
2022-06-23 00:30:00,0.0
2022-06-23 00:35:00,0.0
2022-06-23 00:40:00,0.0
2022-06-23 00:45:00,0.0
2022-06-23 00:50:00,0.0
2022-06-23 00:55:00,0.0
2022-06-23 01:05:00,0.0
2022-06-23 01:10:00,0.0
2022-06-23 01:15:00,0.0
2022-06-23 01:25:00,0.0
2022-06-23 01:35:00,0.0
2022-06-23 01:40:00,0.0
2022-06-23 01:45:00,0.0
2022-06-23 01:50:00,0.0
2022-06-23 01:55:00,0.0
2022-06-23 02:00:00,0.0
2022-06-23 02:05:00,0.0
2022-06-23 02:10:00,0.0
2022-06-23 02:15:00,0.0
2022-06-23 02:20:00,0.0
2022-06-23 02:25:00,0.0
2022-06-23 02:30:00,0.0
2022-06-23 02:35:00,0.0
2022-06-23 02:40:00,0.0
2022-06-23 02:45:00,0.0
2022-06-23 02:50:00,0.0
2022-06-23 02:55:00,0.0
2022-06-23 03:05:00,0.0
2022-06-23 03:10:00,0.0
2022-06-23 03:15:00,0.0
2022-06-23 03:20:00,0.0
2022-06-23 03:25:00,0.0
2022-06-23 03:30:00,0.0
2022-06-23 03:35:00,0.0
2022-06-23 03:40:00,0.0
2022-06-23 03:45:00,0.0
2022-06-23 03:50:00,0.0
2022-06-23 03:55:00,0.0
2022-06-23 04:05:00,0.0
2022-06-23 04:10:00,0.0
2022-06-23 04:15:00,0.0
2022-06-23 04:20:00,0.0
2022-06-23 04:25:00,0.0
2022-06-23 04:30:00,0.0
2022-06-23 04:35:00,0.0
2022-06-23 04:40:00,0.0
2022-06-23 04:45:00,0.0
2022-06-23 04:50:00,0.0
2022-06-23 04:55:00,0.0
2022-06-23 05:00:00,0.0
2022-06-23 05:05:00,0.0
2022-06-23 05:25:00,0.0
2022-06-23 05:30:00,0.0
2022-06-23 05:35:00,0.0
2022-06-23 05:40:00,0.0
2022-06-23 05:45:00,0.0
2022-06-23 05:50:00,0.0
2022-06-23 05:55:00,0.0
2022-06-23 06:00:00,0.0
2022-06-23 06:05:00,0.0
2022-06-23 06:10:00,0.0
2022-06-23 06:15:00,0.0
2022-06-23 06:20:00,0.0
2022-06-23 06:25:00,0.0
2022-06-23 06:30:00,0.0
2022-06-23 06:35:00,0.0
2022-06-23 06:40:00,0.0
2022-06-23 06:45:00,0.0
2022-06-23 06:50:00,0.0
2022-06-23 06:55:00,0.0
2022-06-23 07:00:00,0.0
2022-06-23 07:05:00,0.0
2022-06-23 07:10:00,0.0
2022-06-23 07:15:00,0.0
2022-06-23 07:20:00,0.0
2022-06-23 07:25:00,0.0
2022-06-23 07:30:00,0.0
2022-06-23 07:35:00,0.0
2022-06-23 07:40:00,0.0
2022-06-23 07:45:00,0.0
2022-06-23 07:50:00,0.0
2022-06-23 07:55:00,0.0
2022-06-24 08:05:00,0.0
2022-06-24 08:10:00,0.0
2022-06-24 08:15:00,0.0
2022-06-24 08:20:00,0.0
2022-06-24 08:25:00,0.0
2022-06-24 08:30:00,23660.99130672931
2022-06-24 08:35:00,27136.939322681494
2022-06-24 08:40:00,15478.434597552188
2022-06-24 08:45:00,11236.934017072675
2022-06-24 08:50:00,-727.8470719089694
2022-06-24 08:55:00,-545.7630161618981
2022-06-24 09:00:00,13130.78546491044
2022-06-24 09:05:00,20463.689024849955
2022-06-24 09:10:00,18893.755443606424
2022-06-24 09:15:00,18198.896046810496
2022-06-24 09:20:00,14980.014354960076
2022-06-24 09:25:00,13154.462678208914
2022-06-24 09:30:00,14057.840849952869
2022-06-24 09:35:00,14688.67625744234
2022-06-24 09:40:00,15270.251395326328
2022-06-24 09:45:00,11525.746036384331
2022-06-24 10:05:00,12652.867414775887
2022-06-24 10:10:00,13525.909999840227
2022-06-24 10:15:00,13983.26673110352
2022-06-24 10:20:00,14826.8051837502
2022-06-24 10:25:00,14271.70763470746
2022-06-24 10:30:00,13567.552155418687
2022-06-24 10:35:00,12873.011368551952
2022-06-24 10:40:00,14089.739388797356
2022-06-24 10:45:00,8392.003702535801
